team1,team2,score1,score2,event,date,winner
9 Pandas,HOTU,0,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,HOTU
JiJieHao,ARCRED,1,2,Exort The Proving Grounds Season 3,Results for August 11th 2025,ARCRED
Tricked,Partizan,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 11th 2025,Partizan
fnatic,ECSTATIC,2,0,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,fnatic
EYEBALLERS,Prestige,2,0,European Pro League Season 27,Results for August 11th 2025,EYEBALLERS
The Huns,IHC,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,The Huns
Lynn Vision,MAXXPOWER,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,Lynn Vision
Eruption,Just Swing,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,Eruption
NomadS,FengDa,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,NomadS
JERSA,MAGICOS,2,0,CCT Season 3 South America Series 3,Results for August 11th 2025,JERSA
TBO,Kaleido,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,TBO
Alliance,FORZE Reload,1,2,European Pro League Season 27,Results for August 11th 2025,FORZE Reload
Chinggis Warriors,Victores Sumus,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,Chinggis Warriors
Rare Atom,BORING PLAYERS,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,Rare Atom
TYLOO,L4S,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 11th 2025,L4S
9INE,500,0,2,Exort The Proving Grounds Season 3,Results for August 11th 2025,500
ENCE,SPARTA,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 11th 2025,ENCE
Mousquetaires,MASONIC,2,1,European Pro League Season 27,Results for August 11th 2025,Mousquetaires
Sangal,Tricked,1,2,Exort The Proving Grounds Season 3,Results for August 11th 2025,Tricked
Nexus,Reason,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 11th 2025,Reason
Mindfreak,Ground Zero,2,0,ESL Challenger League Season 50 Oceania Cup 1,Results for August 11th 2025,Mindfreak
ex-TALON,DanCompany,2,0,ESL Challenger League Season 50 Oceania Cup 1,Results for August 11th 2025,ex-TALON
DOG,Rooster,0,2,ESL Challenger League Season 50 Oceania Cup 1,Results for August 11th 2025,Rooster
SemperFi,FLAT EARTH,1,0,ESL Challenger League Season 50 Oceania Cup 1,Results for August 11th 2025,SemperFi
Shimmer,Legacy Kingdom,0,2,CCT Season 3 North America Series 1,Results for August 11th 2025,Legacy Kingdom
SELVA,GameHunters,2,0,CCT Season 3 South America Series 3,Results for August 11th 2025,SELVA
Marca Registrada,Arrival Seven,2,1,CCT Season 3 North America Series 1,Results for August 11th 2025,Marca Registrada
KRÜ,Keyd Stars,2,1,CCT Season 3 South America Series 3,Results for August 11th 2025,KRÜ
Metizport,SPARTA,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 11th 2025,SPARTA
Nexus,Partizan,1,2,Exort The Proving Grounds Season 3,Results for August 10th 2025,Partizan
Eternal Fire,FAVBET,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 10th 2025,FAVBET
PARIVISION,OG,0,2,CCT Season 3 Europe Series 4,Results for August 10th 2025,OG
FUT,BetBoom,13,4,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,FUT
Legacy,Vitality,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Vitality
CYBERSHOKE,BC.Game,1,2,Exort The Proving Grounds Season 3,Results for August 10th 2025,BC.Game
Nemiga,Passion UA,5,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Passion UA
Flamengo,ShindeN,2,0,CCT Season 3 South America Series 3,Results for August 10th 2025,Flamengo
TNL,BIG,8,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,BIG
BetBoom,Sashi,19,15,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,BetBoom
ECSTATIC,Sangal,13,11,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,ECSTATIC
Passion UA,1win,13,7,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Passion UA
BIG,EYEBALLERS,13,9,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,BIG
HEROIC,Aurora,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Aurora
OG,Sangal,0,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Sangal
Inner Circle,Sashi,8,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Sashi
OG,SAW,2,0,CCT Season 3 Europe Series 4,Results for August 10th 2025,OG
SPARTA,RUBY,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 10th 2025,SPARTA
HOTU,EYEBALLERS,4,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,EYEBALLERS
Bounty Hunters,ex-W7M,2,0,CCT Season 3 South America Series 3,Results for August 10th 2025,Bounty Hunters
1win,BASEMENT BOYS,13,6,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,1win
B8,MOUZ,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,MOUZ
AMKAL,Sangal,8,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Sangal
WOPA,K27,0,2,European Pro League Season 27,Results for August 10th 2025,K27
Spirit Academy,ECLOT,2,0,Exort The Proving Grounds Season 3,Results for August 10th 2025,Spirit Academy
paiN,The MongolZ,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,The MongolZ
PARIVISION,fnatic,2,0,CCT Season 3 Europe Series 4,Results for August 10th 2025,PARIVISION
Betclic,GUN5,2,1,Exort The Proving Grounds Season 3,Results for August 10th 2025,Betclic
Eternal Fire,G2 Ares,2,0,European Pro League Season 27,Results for August 10th 2025,Eternal Fire
BLUEJAYS,Chicken Coop,2,1,CCT Season 3 North America Series 1,Results for August 10th 2025,BLUEJAYS
Dusty Roots,Bad Luck,2,0,CCT Season 3 South America Series 3,Results for August 10th 2025,Dusty Roots
BOSS,Marsborne,0,2,CCT Season 3 North America Series 1,Results for August 10th 2025,Marsborne
Liquid,FURIA,2,1,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Liquid
33,ARCRED,2,1,Exort Series 14,Results for August 10th 2025,33
Yawara,MAGICOS,2,0,CCT Season 3 South America Series 3,Results for August 9th 2025,Yawara
G2,Spirit,1,2,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Spirit
Partizan,PARIVISION,0,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,PARIVISION
JERSA,R2,0,2,CCT Season 3 South America Series 3,Results for August 9th 2025,R2
Metizport,SINNERS,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 9th 2025,SINNERS
RUSTEC,ARCRED,0,2,Exort Series 14,Results for August 9th 2025,ARCRED
FAVBET,Monte,1,0,Thunderpick World Championship 2025 European Series 2,Results for August 9th 2025,FAVBET
ECLOT,SKYFURY,1,2,ESEA League Season 54 Europe Elite Cup 1,Results for August 9th 2025,SKYFURY
Virtus.pro,FaZe,2,1,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Virtus.pro
9INE,fnatic,0,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,fnatic
Crashers,StragaSonhoS,1,2,CCT Season 3 South America Series 3,Results for August 9th 2025,StragaSonhoS
33,EYEBALLERS,2,1,Exort Series 14,Results for August 9th 2025,33
ENCE,OG,1,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,OG
SINNERS,RUBY,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 9th 2025,SINNERS
Astralis,Natus Vincere,2,1,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Astralis
Leo,8Sins,2,0,European Pro League Season 27,Results for August 9th 2025,Leo
Metizport,SPARTA,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 9th 2025,Metizport
TNL,SAW,0,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,SAW
Supernova Comets,Chicken Coop,0,2,CCT Season 3 North America Series 1,Results for August 9th 2025,Chicken Coop
KRÜ,MAGICOS,2,1,CCT Season 3 South America Series 3,Results for August 9th 2025,KRÜ
BLUEJAYS,Legacy Kingdom,2,1,CCT Season 3 North America Series 1,Results for August 9th 2025,BLUEJAYS
SELVA,Bad Luck,2,0,CCT Season 3 South America Series 3,Results for August 8th 2025,SELVA
ARCRED,HyperSpirit,2,1,Exort Series 14,Results for August 8th 2025,ARCRED
VP.Prodigy,Hesta,2,1,ESEA League Season 54 Europe Elite Cup 1,Results for August 8th 2025,VP.Prodigy
fnatic,Sashi,2,0,CCT Season 3 Europe Series 4,Results for August 8th 2025,fnatic
Complexity,HEROIC,1,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,HEROIC
SPARTA,RUSTEC,0,2,Exort Series 14,Results for August 8th 2025,RUSTEC
ShindeN,Crashers,2,0,CCT Season 3 South America Series 3,Results for August 8th 2025,ShindeN
Reason,Eternal Fire,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 8th 2025,Reason
BIG,Partizan,0,2,CCT Season 3 Europe Series 4,Results for August 8th 2025,Partizan
NRG,Vitality,0,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,Vitality
Keyd Stars,Yawara,2,0,CCT Season 3 South America Series 3,Results for August 8th 2025,Keyd Stars
FlyQuest,Aurora,0,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,Aurora
OG,Tricked,2,0,CCT Season 3 Europe Series 4,Results for August 8th 2025,OG
Monte,Eternal Fire,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 8th 2025,Eternal Fire
Bushido Wildcats,BIG Academy,2,1,European Pro League Season 27,Results for August 8th 2025,Bushido Wildcats
EYEBALLERS,K27,1,0,Exort Series 14,Results for August 8th 2025,EYEBALLERS
PARIVISION,CYBERSHOKE,2,1,CCT Season 3 Europe Series 4,Results for August 8th 2025,PARIVISION
ENCE,The MongolZ,1,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,The MongolZ
FAVBET,Reason,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 8th 2025,Reason
33,BASEMENT BOYS,2,0,Exort Series 14,Results for August 8th 2025,33
GenOne,Volt,2,0,European Pro League Season 27,Results for August 8th 2025,GenOne
Marsborne,Arrival Seven,2,0,CCT Season 3 North America Series 1,Results for August 8th 2025,Marsborne
Bounty Hunters,R2,2,0,CCT Season 3 South America Series 3,Results for August 8th 2025,Bounty Hunters
BOSS,Marca Registrada,2,0,CCT Season 3 North America Series 1,Results for August 8th 2025,BOSS
Flamengo,StragaSonhoS,2,1,CCT Season 3 South America Series 3,Results for August 8th 2025,Flamengo
fnatic,Legacy,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,Legacy
ECLOT,CPH Wolves,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 7th 2025,CPH Wolves
Spirit Academy,9INE,0,2,CCT Season 3 Europe Series 4,Results for August 7th 2025,9INE
Ninjas in Pyjamas,paiN,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,paiN
ex-W7M,JERSA,2,0,CCT Season 3 South America Series 3,Results for August 7th 2025,ex-W7M
BetBoom,SAW,0,2,CCT Season 3 Europe Series 4,Results for August 7th 2025,SAW
ARCRED,33,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 7th 2025,ARCRED
GameHunters,Dusty Roots,2,1,CCT Season 3 South America Series 3,Results for August 7th 2025,GameHunters
OG,MOUZ,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,MOUZ
ENCE,Monte,2,0,CCT Season 3 Europe Series 4,Results for August 7th 2025,ENCE
MASONIC,FORZE Reload,0,2,European Pro League Season 27,Results for August 7th 2025,FORZE Reload
m1x,CPH Wolves,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 7th 2025,CPH Wolves
BIG,FURIA,0,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,FURIA
TNL,Johnny Speeds,2,0,CCT Season 3 Europe Series 4,Results for August 7th 2025,TNL
Alliance,Mousquetaires,2,0,European Pro League Season 27,Results for August 7th 2025,Alliance
33,NIP Impact,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 7th 2025,33
Sangal,Partizan,1,2,CCT Season 3 Europe Series 4,Results for August 6th 2025,Partizan
Rare Atom,Astralis,0,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Astralis
Passion UA,Spirit,1,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Spirit
Johnny Speeds,Zero Tenacity,2,1,CCT Season 3 Europe Series 4,Results for August 6th 2025,Johnny Speeds
Partizan,ECLOT,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 6th 2025,Partizan
TNL,Natus Vincere,1,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Natus Vincere
Betclic,Monte,1,2,CCT Season 3 Europe Series 4,Results for August 6th 2025,Monte
ECLOT,CPH Wolves,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 6th 2025,ECLOT
MIBR,Virtus.pro,0,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Virtus.pro
K27,G2 Ares,2,0,European Pro League Season 27,Results for August 6th 2025,K27
Eternal Fire,WOPA,1,2,European Pro League Season 27,Results for August 6th 2025,WOPA
Partizan,m1x,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 6th 2025,Partizan
9z,BESTIA,0,2,CCT Season 3 South America Series 2,Results for August 6th 2025,BESTIA
BetBoom,FaZe,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,FaZe
Betclic,Sashi,1,2,CCT Season 3 Europe Series 4,Results for August 5th 2025,Sashi
Yawara,BESTIA,0,2,CCT Season 3 South America Series 2,Results for August 5th 2025,BESTIA
Nemiga,G2,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,G2
ShindeN,9z,0,2,CCT Season 3 South America Series 2,Results for August 5th 2025,9z
500,ARCRED,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 5th 2025,500
SAW,Partizan,2,0,CCT Season 3 Europe Series 4,Results for August 5th 2025,SAW
ECSTATIC,Liquid,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,Liquid
9INE,Zero Tenacity,2,0,CCT Season 3 Europe Series 4,Results for August 5th 2025,9INE
ARCRED,NIP Impact,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 5th 2025,ARCRED
FUT,B8,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,B8
Eternal Fire,Volt,1,2,European Pro League 2nd Division Season 24,Results for August 5th 2025,Volt
500,33,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 5th 2025,500
Yawara,RED Canids,2,1,CCT Season 3 South America Series 2,Results for August 5th 2025,Yawara
ODDIK,9z,0,2,CCT Season 3 South America Series 2,Results for August 4th 2025,9z
Nexus,Johnny Speeds,1,2,CCT Season 3 Europe Series 4,Results for August 4th 2025,Johnny Speeds
Sharks,BESTIA,0,2,CCT Season 3 South America Series 2,Results for August 4th 2025,BESTIA
Passion UA,Monte,1,2,CCT Season 3 Europe Series 4,Results for August 4th 2025,Monte
ShindeN,Flamengo,2,0,CCT Season 3 South America Series 2,Results for August 4th 2025,ShindeN
Sangal,ARCRED,2,1,CCT Season 3 Europe Series 4,Results for August 4th 2025,Sangal
Volt,MANA,2,1,European Pro League 2nd Division Season 24,Results for August 4th 2025,Volt
fish123,G2 Ares,1,2,United21 League Season 35,Results for August 4th 2025,G2 Ares
MANA,Eternal Fire,1,2,European Pro League 2nd Division Season 24,Results for August 4th 2025,Eternal Fire
9z,Bounty Hunters,2,0,CCT Season 3 South America Series 2,Results for August 4th 2025,9z
ODDIK,GameHunters,2,1,CCT Season 3 South America Series 2,Results for August 4th 2025,ODDIK
Betclic,Tricked,0,2,CCT Season 3 Europe Series 4,Results for August 3rd 2025,Tricked
SELVA,Flamengo,1,2,CCT Season 3 South America Series 2,Results for August 3rd 2025,Flamengo
FlyQuest,The Huns,2,0,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,FlyQuest
Spirit,MOUZ,3,0,IEM Cologne 2025,Results for August 3rd 2025,Spirit
NRG,M80,0,2,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 3rd 2025,M80
SAW,CYBERSHOKE,1,2,CCT Season 3 Europe Series 4,Results for August 3rd 2025,CYBERSHOKE
VP.Prodigy,ECSTATIC,1,2,RES Showdown 2: BLAST Premier Rising Event,Results for August 3rd 2025,ECSTATIC
Legacy,Imperial,2,0,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 3rd 2025,Legacy
Keyd Stars,RED Canids,1,2,CCT Season 3 South America Series 2,Results for August 3rd 2025,RED Canids
9INE,Johnny Speeds,2,1,CCT Season 3 Europe Series 4,Results for August 3rd 2025,9INE
MASONIC,G2 Ares,0,2,United21 League Season 35,Results for August 3rd 2025,G2 Ares
AaB,Volt,1,2,European Pro League 2nd Division Season 24,Results for August 3rd 2025,Volt
Sangal,Zero Tenacity,1,2,CCT Season 3 Europe Series 4,Results for August 3rd 2025,Zero Tenacity
The Huns,Chinggis Warriors,2,0,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,The Huns
Eruption,FlyQuest,0,2,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,FlyQuest
BESTIA,2GAME,2,1,CCT Season 3 South America Series 2,Results for August 3rd 2025,BESTIA
Imperial,ODDIK,2,1,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,Imperial
FURIA fe,Yawara,0,2,CCT Season 3 South America Series 2,Results for August 2nd 2025,Yawara
NRG,BOSS,2,0,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,NRG
Vitality,MOUZ,0,2,IEM Cologne 2025,Results for August 2nd 2025,MOUZ
Fluxo,ShindeN,1,2,CCT Season 3 South America Series 2,Results for August 2nd 2025,ShindeN
Nexus,Sashi,0,2,CCT Season 3 Europe Series 4,Results for August 2nd 2025,Sashi
Marsborne,M80,0,2,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,M80
Legacy,Sharks,2,0,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,Legacy
fnatic,ECSTATIC,1,2,RES Showdown 2: BLAST Premier Rising Event,Results for August 2nd 2025,ECSTATIC
Spirit,Natus Vincere,2,1,IEM Cologne 2025,Results for August 2nd 2025,Spirit
Passion UA,Partizan,0,2,CCT Season 3 Europe Series 4,Results for August 2nd 2025,Partizan
Sharks,Dusty Roots,2,0,CCT Season 3 South America Series 2,Results for August 2nd 2025,Sharks
VP.Prodigy,FUT,2,0,RES Showdown 2: BLAST Premier Rising Event,Results for August 2nd 2025,VP.Prodigy
ARCRED,SENZA,2,0,CCT Season 3 Europe Series 4,Results for August 2nd 2025,ARCRED
