team1,team2,score1,score2,event,date,winner,rank1,rank2
MIBR,Virtus.pro,0,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Virtus.pro,28,61
K27,G2 Ares,2,0,European Pro League Season 27,Results for August 6th 2025,K27,40,84
9z,BESTIA,0,2,CCT Season 3 South America Series 2,Results for August 6th 2025,BESTIA,42,37
BetBoom,FaZe,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,FaZe,32,7
Betclic,Sashi,1,2,CCT Season 3 Europe Series 4,Results for August 5th 2025,Sashi,93,78
Nemiga,G2,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,G2,55,9
ShindeN,9z,0,2,CCT Season 3 South America Series 2,Results for August 5th 2025,9z,71,42
ECSTATIC,Liquid,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,Liquid,50,15
FUT,B8,0,2,BLAST Bounty 2025 Season 2,Results for August 5th 2025,B8,14,16
ODDIK,9z,0,2,CCT Season 3 South America Series 2,Results for August 4th 2025,9z,47,42
Sharks,BESTIA,0,2,CCT Season 3 South America Series 2,Results for August 4th 2025,BESTIA,39,37
Passion UA,Monte,1,2,CCT Season 3 Europe Series 4,Results for August 4th 2025,Monte,17,31
Sangal,ARCRED,2,1,CCT Season 3 Europe Series 4,Results for August 4th 2025,Sangal,97,60
9z,Bounty Hunters,2,0,CCT Season 3 South America Series 2,Results for August 4th 2025,9z,42,88
Betclic,Tricked,0,2,CCT Season 3 Europe Series 4,Results for August 3rd 2025,Tricked,93,59
FlyQuest,The Huns,2,0,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,FlyQuest,29,67
Spirit,MOUZ,3,0,IEM Cologne 2025,Results for August 3rd 2025,Spirit,5,4
NRG,M80,0,2,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 3rd 2025,M80,19,24
Legacy,Imperial,2,0,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 3rd 2025,Legacy,25,23
9INE,Johnny Speeds,2,1,CCT Season 3 Europe Series 4,Results for August 3rd 2025,9INE,41,73
The Huns,Chinggis Warriors,2,0,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,The Huns,67,83
Eruption,FlyQuest,0,2,BLAST Rising Asia 2025 Season 2,Results for August 3rd 2025,FlyQuest,95,29
Imperial,ODDIK,2,1,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,Imperial,23,47
NRG,BOSS,2,0,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,NRG,19,94
Vitality,MOUZ,0,2,IEM Cologne 2025,Results for August 2nd 2025,MOUZ,1,4
Fluxo,ShindeN,1,2,CCT Season 3 South America Series 2,Results for August 2nd 2025,ShindeN,66,71
Marsborne,M80,0,2,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,M80,53,24
Legacy,Sharks,2,0,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,Legacy,25,39
fnatic,ECSTATIC,1,2,RES Showdown 2: BLAST Premier Rising Event,Results for August 2nd 2025,ECSTATIC,33,50
Spirit,Natus Vincere,2,1,IEM Cologne 2025,Results for August 2nd 2025,Spirit,5,8
GenOne,G2 Ares,0,2,United21 League Season 35,Results for August 2nd 2025,G2 Ares,56,84
M80,Wildcard,2,0,Thunderpick World Championship 2025 North America Series 2,Results for August 2nd 2025,M80,24,75
Imperial,ShindeN,2,0,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 2nd 2025,Imperial,23,71
MOUZ,FURIA,2,1,IEM Cologne 2025,Results for August 1st 2025,MOUZ,4,2
Sharks,9z,2,1,Ace SA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 1st 2025,Sharks,39,42
Wildcard,Marsborne,0,2,Ace NA Masters 2025 Season 2 - BLAST Premier Rising Event,Results for August 1st 2025,Marsborne,75,53
Tricked,9INE,2,1,CCT Season 3 Europe Series 4,Results for August 1st 2025,Tricked,59,41
The MongolZ,Natus Vincere,0,2,IEM Cologne 2025,Results for August 1st 2025,Natus Vincere,10,8
Sangal,CYBERSHOKE,1,2,CCT Season 3 Europe Series 4,Results for August 1st 2025,CYBERSHOKE,97,58
Wildcard,NRG,2,1,Thunderpick World Championship 2025 North America Series 2,Results for August 1st 2025,Wildcard,75,19
Johnny Speeds,Monte,2,0,CCT Season 3 Europe Series 4,Results for July 31st 2025,Johnny Speeds,73,31
Sashi,ARCRED,2,0,CCT Season 3 Europe Series 4,Results for July 31st 2025,Sashi,78,60
Johnny Speeds,CYBERSHOKE,0,2,CCT Season 3 Europe Series 4,Results for July 30th 2025,CYBERSHOKE,73,58
Tricked,ARCRED,2,0,CCT Season 3 Europe Series 4,Results for July 30th 2025,Tricked,59,60
G2,FURIA,0,2,IEM Cologne 2025,Results for July 29th 2025,FURIA,9,2
9INE,Sashi,2,1,CCT Season 3 Europe Series 4,Results for July 29th 2025,9INE,41,78
FaZe,Natus Vincere,0,2,IEM Cologne 2025,Results for July 29th 2025,Natus Vincere,7,8
MOUZ,Spirit,1,2,IEM Cologne 2025,Results for July 29th 2025,Spirit,4,5
The MongolZ,Vitality,0,2,IEM Cologne 2025,Results for July 29th 2025,Vitality,10,1
Ninjas in Pyjamas,Natus Vincere,1,2,IEM Cologne 2025,Results for July 29th 2025,Natus Vincere,21,8
FaZe,Aurora,2,0,IEM Cologne 2025,Results for July 29th 2025,FaZe,7,11
Sangal,Monte,2,1,CCT Season 3 Europe Series 4,Results for July 29th 2025,Sangal,97,31
ShindeN,BESTIA,2,0,Ace SA Masters 2025 Season 2 South America Open Qualifier,Results for July 28th 2025,ShindeN,71,37
Falcons,FURIA,1,2,IEM Cologne 2025,Results for July 28th 2025,FURIA,3,2
3DMAX,G2,0,2,IEM Cologne 2025,Results for July 28th 2025,G2,13,9
Aurora,Spirit,0,2,IEM Cologne 2025,Results for July 28th 2025,Spirit,11,5
FaZe,Liquid,2,0,IEM Cologne 2025,Results for July 28th 2025,FaZe,7,15
Natus Vincere,MOUZ,0,2,IEM Cologne 2025,Results for July 28th 2025,MOUZ,8,4
Ninjas in Pyjamas,HEROIC,2,0,IEM Cologne 2025,Results for July 28th 2025,Ninjas in Pyjamas,21,22
KOLESIE,1win,2,1,CCT Season 3 Europe Series 4 Closed Qualifier,Results for July 27th 2025,KOLESIE,54,77
FURIA,Astralis,2,0,IEM Cologne 2025,Results for July 27th 2025,FURIA,2,12
G2,Vitality,0,2,IEM Cologne 2025,Results for July 27th 2025,Vitality,9,1
GamerLegion,3DMAX,1,2,IEM Cologne 2025,Results for July 27th 2025,3DMAX,20,13
Falcons,The MongolZ,0,2,IEM Cologne 2025,Results for July 27th 2025,The MongolZ,3,10
Spirit,HEROIC,2,0,IEM Cologne 2025,Results for July 27th 2025,Spirit,5,22
MOUZ,Liquid,2,0,IEM Cologne 2025,Results for July 27th 2025,MOUZ,4,15
Natus Vincere,FaZe,2,1,IEM Cologne 2025,Results for July 26th 2025,Natus Vincere,8,7
Aurora,Ninjas in Pyjamas,2,0,IEM Cologne 2025,Results for July 26th 2025,Aurora,11,21
Vitality,Astralis,2,0,IEM Cologne 2025,Results for July 26th 2025,Vitality,1,12
The MongolZ,3DMAX,2,0,IEM Cologne 2025,Results for July 26th 2025,The MongolZ,10,13
G2,FURIA,2,0,IEM Cologne 2025,Results for July 26th 2025,G2,9,2
Falcons,GamerLegion,2,0,IEM Cologne 2025,Results for July 26th 2025,Falcons,3,20
Alliance,KOLESIE,0,2,CCT Season 3 Europe Series 4 Closed Qualifier,Results for July 26th 2025,KOLESIE,76,54
Astralis,paiN,2,1,IEM Cologne 2025 Stage 1,Results for July 25th 2025,Astralis,12,18
3DMAX,TYLOO,2,0,IEM Cologne 2025 Stage 1,Results for July 25th 2025,3DMAX,13,30
Virtus.pro,HEROIC,0,2,IEM Cologne 2025 Stage 1,Results for July 25th 2025,HEROIC,61,22
FlyQuest,Liquid,1,2,IEM Cologne 2025 Stage 1,Results for July 25th 2025,Liquid,29,15
Alliance,1win,0,2,CCT Season 3 Europe Series 4 Closed Qualifier,Results for July 25th 2025,1win,76,77
BIG,paiN,1,2,IEM Cologne 2025 Stage 1,Results for July 25th 2025,paiN,63,18
Astralis,FURIA,0,2,IEM Cologne 2025 Stage 1,Results for July 25th 2025,FURIA,12,2
FaZe,Liquid,2,1,IEM Cologne 2025 Stage 1,Results for July 24th 2025,FaZe,7,15
MIBR,HEROIC,0,2,IEM Cologne 2025 Stage 1,Results for July 24th 2025,HEROIC,28,22
B8,FlyQuest,1,2,IEM Cologne 2025 Stage 1,Results for July 24th 2025,FlyQuest,16,29
3DMAX,Ninjas in Pyjamas,0,2,IEM Cologne 2025 Stage 1,Results for July 24th 2025,Ninjas in Pyjamas,13,21
